course_id,title,facility,lat,lng,weekday,start_time,sport,tag_strength,tag_endurance,tag_flex,tag_cardio,tag_power
C1529,,금촌체육공원테니스장,37.774107,126.726342,,,테니스,0,0,0,1,1
C1530,,금호정,37.756078,126.785849,,,국궁,1,0,1,0,0
C1531,,대성동실내체육관,37.942439,126.677277,,,생활체육,1,1,0,0,0
C1532,,문산국민체육센터,37.884059,126.793645,,,생활체육,1,1,0,0,0
C1533,,문산탁구장,37.884232,126.793303,,,탁구,0,0,0,1,1
C1534,,법원체육공원테니스장,37.839214,126.855199,,,테니스,0,0,0,1,1
C1535,,산내다목적체육관,37.728772,126.729328,,,생활체육,1,1,0,0,0
C1536,,심학산파크골프장,37.708990,126.710018,,,파크골프,0,0,1,0,0
C1537,,연풍리체육공원테니스장,37.829254,126.849357,,,테니스,0,0,0,1,1
C1538,,운정건강공원 농구장,37.715870,126.742958,,,농구,0,0,0,1,1
C1539,,운정건강공원1테니스장,37.715779,126.739332,,,테니스,0,0,0,1,1
C1540,,운정건강공원2테니스장,37.715780,126.739334,,,테니스,0,0,0,1,1
C1541,,운정건강공원인공암벽장,37.715870,126.742958,,,클라이밍,1,0,1,0,0
C1542,,운정다목적체육관,37.714968,126.742909,,,생활체육,1,1,0,0,0
C1543,,운정다목적체육관 수영장,37.714968,126.742909,,,수영,0,1,1,1,0
C1544,,운정스포츠센터,37.737139,126.767695,,,생활체육,1,1,0,0,0
C1545,,운정스포츠센터 수영장,37.737139,126.767695,,,수영,0,1,1,1,0
C1546,,운정실내배드민턴장,37.738475,126.768360,,,배드민턴,0,0,0,1,1
C1547,,운정체육공원 농구장,37.738813,126.767714,,,농구,0,0,0,1,1
C1548,,운정체육공원테니스장,37.738813,126.767714,,,테니스,0,0,0,1,1
